id,title,artist,status,tabs_link,video_link,recording_link,artwork_url,notes,created_at,updated_at
32bf2923-6bbe-4a6f-8bb0-4f1cbc5664cd,This life,Sons of Anarchy OST,recorded,,,,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/0e/60/d2/0e60d213-f049-ceb2-b147-a19017099b07/mzi.iiqyjxyh.jpg/600x600bb.jpg,,2025-06-07 20:14:55.315185+00,2025-06-07 20:50:37.903081+00
38fef40c-4bb9-4deb-a6b7-facd9ae087bf,Johnny B Goode,Chuck Berry,rehearsing,,https://youtu.be/to_IKcCqCNA?si=V30SvTmb9rJamzzr,,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/e5/53/0a/e5530ac7-0e51-84df-53e6-607f47bdf231/06UMGIM11042.rgb.jpg/600x600bb.jpg,,2025-06-07 20:01:10.260239+00,2025-06-08 09:28:15.848956+00
48e3619f-7265-4106-88b3-3544a0b978ba,Crystalised,The xx,rehearsing,https://www.youtube.com/watch?v=Pib8eYDSFEI,,,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/8e/8d/ea/8e8dea46-dad8-7cd2-b539-6fe4e53eb498/634904045067.png/600x600bb.jpg,,2025-06-07 20:01:10.260239+00,2025-06-07 20:50:37.908286+00
49a70263-1d04-4aef-9a6f-e08f2f460adf,Back in black intro,AC/DC,studied,https://www.youtube.com/watch?v=NFgE_xDxCZ4,,,,,2025-06-07 20:20:59.656505+00,2025-06-07 20:29:18.041602+00
4c22797d-79e2-4b10-93b4-e2dfbfea638e,Blind,Korn,rehearsing,,https://www.youtube.com/watch?v=alyuKkP4SUo,,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/72/79/c7/7279c7ce-10db-38a4-1467-11df6208c0c7/827969347720.jpg/600x600bb.jpg,строй А (но мы понижали только 6 струну),2025-06-07 20:01:10.260239+00,2025-06-08 09:26:27.482091+00
514e1265-78c7-434c-9505-c5c7de50bc33,Jordan,Noize MC,recorded,,,,,,2025-06-07 20:14:55.315185+00,2025-06-07 20:14:55.315185+00
627c8b11-762a-4a38-9c7a-c072c8ee079e,Jingle Bells Rock,Various Artists,recorded,,,,https://is1-ssl.mzstatic.com/image/thumb/Music/79/a8/bb/dj.elopgcqd.jpg/600x600bb.jpg,,2025-06-07 20:14:55.315185+00,2025-06-07 20:50:37.909462+00
67b40c91-90d0-4cd2-add2-6b070c60602d,Freestyler,Bomfunk MC's,studied,,,,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c9/47/c5/c947c5f8-436b-6a5a-4458-d520485c51f6/196872423600.jpg/600x600bb.jpg,"(акустика E B E G# B e, электро - стандарт)",2025-06-07 20:21:45.308647+00,2025-06-07 20:50:37.60141+00
68803053-1658-4719-903b-374b0eccbf9e,No good,KALEO,studied,https://www.youtube.com/watch?v=TCTr4Je-jZw,,,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/74/fb/5e/74fb5e22-3a1b-4468-dc14-e097dc635e44/075679911506.jpg/600x600bb.jpg,,2025-06-07 20:20:59.656505+00,2025-06-07 20:50:37.937423+00
70934e93-c9a6-4894-86af-b8cca3ea5f5b,Supermassive Black Hole,Muse,rehearsing,,https://www.youtube.com/watch?v=4sE8MOIR87Q,,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/31/99/dd/3199ddd5-6317-d6a1-f447-712ac86161ba/mzi.bwfrnenf.jpg/600x600bb.jpg,,2025-06-07 20:01:10.260239+00,2025-06-08 09:27:44.336756+00
731a4494-bebc-4aac-9b5f-86fe9dd07e90,Sweet Home Alabama,Lynyrd Skynyrd,recorded,,,,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/3b/49/b9/3b49b923-fb26-a60a-8b5e-f9e05ddf06dd/06UMGIM02061.rgb.jpg/600x600bb.jpg,,2025-06-07 20:14:55.315185+00,2025-06-07 20:50:37.82456+00
7a073558-1a93-4f05-a746-f2aebb14e064,Save Your Tears,The Weeknd,rehearsing,,https://www.youtube.com/watch?v=lH-txADBKsE,,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/bb/35/39/bb353980-b0c7-eac5-9509-267feb48d1b3/21UMGIM33221.rgb.jpg/600x600bb.jpg,,2025-06-07 20:01:10.260239+00,2025-06-08 09:26:56.98652+00
7fb3d413-33b9-4733-97e8-de6cc5569296,Stairway to Heaven,Led Zeppelin,studied,https://cloud.mail.ru/public/t8z3/S3M6ghZbG,https://www.youtube.com/watch?v=2MWwobtzaMw&list=PL31nbWbtligVxrrhN3sPhL8ZyvdswsKLN&index=9&t=0s,,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/5c/15/9b/5c159b27-95ca-b9a7-84e3-28e795fffd39/dj.kvkrpptq.jpg/600x600bb.jpg,,2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.876717+00
8079dfd7-0ce7-4402-ac7c-67e10b1a6e80,Misirlou (из фильма Taxi),Dick Dale,studied,,,,,,2025-06-07 20:20:59.656505+00,2025-06-07 20:29:18.041602+00
82f1b171-1631-4e3a-a82a-f270fb24d0dd,The Last Of Us,Soundtrack,recorded,https://www.youtube.com/watch?v=-NnsqKU7PkQ,https://www.youtube.com/watch?v=7Z0TPseiuss,https://www.instagram.com/reel/Ct66VTAAus3/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/95/7a/8b/957a8b8b-77a2-fa17-7d34-0d4ffef0151f/886443853973.jpg/600x600bb.jpg,Кавер Играет автор,2025-06-07 20:16:03.477159+00,2025-06-07 20:50:37.542308+00
85f86b70-974e-4df0-9d2b-940c07df43e4,Take a look around,Limp Bizkit,studied,,,,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/b2/70/c8/b270c885-3e28-3dfa-3bd3-faa6e5fa8540/15UMGIM36851.rgb.jpg/600x600bb.jpg,100 bpm,2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.888971+00
860ab4d3-9640-4090-9cbd-da4197557224,My Number,Foals,studied,,,,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/c7/0c/c9/c70cc9b1-ad6e-4cfa-e81b-49bacce6c5ba/825646535835.jpg/600x600bb.jpg,,2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.63319+00
8b1425ae-f6f4-49b0-a41b-02853ff1086d,Stitch,Wage War,studied,https://www.youtube.com/watch?v=s8VZKVQ-6DY,,,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/2d/fa/f0/2dfaf036-bfa1-2ebc-a6ea-fb1c03311d00/00888072026773.rgb.jpg/600x600bb.jpg,(A# F A# D# G c),2025-06-07 20:20:59.656505+00,2025-06-07 20:50:37.927579+00
90b55a5c-6e00-473d-9504-2189add36aec,Money for Nothing (intro solo),Dire Straights,studied,https://www.youtube.com/watch?v=loFzP9iF1SQ,,,,,2025-06-07 20:20:59.656505+00,2025-06-07 20:29:18.041602+00
9347c754-330e-45b2-b663-c49bd8c3f40f,Сентябрь,Stigmata,studied,https://cloud.mail.ru/public/otxR/W8g1mtnpv,https://www.youtube.com/watch?v=x00irvuH0TQ,,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/22/8e/bb/228ebbef-78c9-6792-b6e5-60b551930237/AtomicBlonde_Cover_3000pxls.jpg/600x600bb.jpg,,2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.927067+00
95102a9c-6fba-4ec4-a8b4-c5ef5699db96,Let It Be,The Beatles,recorded,,,,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ae/98/4c/ae984c7a-cd06-a7cd-e8bf-32cb15ba698d/00602567705475.rgb.jpg/600x600bb.jpg,,2025-06-07 20:14:55.315185+00,2025-06-07 20:50:37.824452+00
a07cb357-3731-448d-944b-fab8b5ad03ba,The Thrill Is Gone,B.B.King,recorded,,,,,,2025-06-07 20:16:03.477159+00,2025-06-07 20:16:03.477159+00
ad094e87-0c17-4e34-9996-a0b9d8d485cb,Old Town Road,Lil Nas X,studied,https://cloud.mail.ru/public/NCWa/3kzKuK67H,https://www.youtube.com/watch?v=cdVETo7Owa0&list=PL31nbWbtligXdgQszl-3_6KIj3HeF2bea&index=17&t=62s,,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/b9/07/51/b9075120-62d2-4c00-2657-58e40da17a12/886447659168.jpg/600x600bb.jpg,,2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.783853+00
b0eadd76-2475-4350-a366-6a0a8421c592,Twin Peaks OST,Soundtrack,recorded,https://www.youtube.com/watch?v=Eo-hNuDyB5k&list=PL31nbWbtligVxrrhN3sPhL8ZyvdswsKLN&index=3&t=0s,https://youtu.be/ittI4Vv4t3A,,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/13/7a/6c/137a6ca0-c567-4fb7-0648-767567282dfd/100_rpm.jpg/600x600bb.jpg,,2025-06-07 20:14:55.315185+00,2025-06-07 20:50:37.727134+00
